id,category,method,latency_s,tokens_per_second,memory_delta_mb,theoretical_kv_cache_mb,correct
normal_001,normal_generation,full_kv_cache,1.1741,6.8137,17.54,1.6172,
normal_001,normal_generation,sliding_window_128,1.002,7.984,3.21,1.6172,
normal_001,normal_generation,attention_recent64_top64,0.9995,8.0042,0.0,1.6172,
normal_002,normal_generation,full_kv_cache,1.0872,7.3586,0.0,1.6172,
normal_002,normal_generation,sliding_window_128,1.0805,7.4042,0.0,1.6172,
normal_002,normal_generation,attention_recent64_top64,1.032,7.7521,0.0,1.6172,
normal_003,normal_generation,full_kv_cache,1.1189,7.1501,0.0,1.6172,
normal_003,normal_generation,sliding_window_128,1.1396,7.0203,0.0,1.6172,
normal_003,normal_generation,attention_recent64_top64,1.0076,7.9399,0.0,1.6172,
old_recall_001,old_recall,full_kv_cache,1.666,4.802,26.98,9.3516,True
old_recall_001,old_recall,sliding_window_128,1.7135,4.6688,24.41,9.0,False
old_recall_001,old_recall,attention_recent64_top64,1.884,4.2462,9.66,9.0,True
old_recall_002,old_recall,full_kv_cache,1.7795,4.4956,0.0,9.2109,False
old_recall_002,old_recall,sliding_window_128,1.6816,4.7574,0.0,9.0,False
old_recall_002,old_recall,attention_recent64_top64,1.7576,4.5516,0.0,9.0,False
old_recall_003,old_recall,full_kv_cache,1.7612,4.5424,0.0,8.9297,True
old_recall_003,old_recall,sliding_window_128,1.6609,4.8166,0.0,8.9297,True
old_recall_003,old_recall,attention_recent64_top64,1.4879,5.3768,0.0,8.9297,True
recent_recall_001,recent_recall,full_kv_cache,1.5672,5.1047,0.0,8.5781,False
recent_recall_001,recent_recall,sliding_window_128,1.5534,5.1501,0.0,8.5781,False
recent_recall_001,recent_recall,attention_recent64_top64,1.4983,5.3393,0.0,8.5781,False
recent_recall_002,recent_recall,full_kv_cache,1.5523,5.1535,0.0,8.0859,True
recent_recall_002,recent_recall,sliding_window_128,1.513,5.2876,0.0,8.0859,True
recent_recall_002,recent_recall,attention_recent64_top64,1.5053,5.3147,0.0,8.0859,True
recent_recall_003,recent_recall,full_kv_cache,1.4563,5.4934,0.0,7.2422,False
recent_recall_003,recent_recall,sliding_window_128,1.3935,5.7409,0.0,7.2422,False
recent_recall_003,recent_recall,attention_recent64_top64,1.4344,5.5771,0.0,7.2422,False
instruction_001,instruction_retention,full_kv_cache,1.5435,5.1831,0.0,7.7344,True
instruction_001,instruction_retention,sliding_window_128,1.5167,5.2746,0.0,7.7344,True
instruction_001,instruction_retention,attention_recent64_top64,1.4829,5.3948,0.0,7.7344,True
instruction_002,instruction_retention,full_kv_cache,1.4637,5.4654,0.0,7.0312,False
instruction_002,instruction_retention,sliding_window_128,1.5754,5.078,-0.02,7.0312,False
instruction_002,instruction_retention,attention_recent64_top64,1.508,5.305,0.0,7.0312,False
instruction_003,instruction_retention,full_kv_cache,1.4692,5.4453,0.0,6.75,True
instruction_003,instruction_retention,sliding_window_128,1.4537,5.5033,0.0,6.75,True
instruction_003,instruction_retention,attention_recent64_top64,1.4014,5.7084,0.0,6.75,True
long_context_001,long_context,full_kv_cache,1.8988,4.2132,10.33,14.2031,
long_context_001,long_context,sliding_window_128,1.9029,4.2042,0.05,9.0,
long_context_001,long_context,attention_recent64_top64,2.1544,3.7134,12.44,9.0,
long_context_002,long_context,full_kv_cache,1.9457,4.1115,0.26,10.8984,
long_context_002,long_context,sliding_window_128,1.6182,4.9439,0.0,9.0,
long_context_002,long_context,attention_recent64_top64,1.8612,4.2983,-0.15,9.0,
multi_fact_001,multi_fact_recall,full_kv_cache,1.7681,4.5247,0.0,9.0703,False
multi_fact_001,multi_fact_recall,sliding_window_128,1.5188,5.2672,0.0,9.0,False
multi_fact_001,multi_fact_recall,attention_recent64_top64,1.5427,5.1856,0.0,9.0,False
multi_fact_002,multi_fact_recall,full_kv_cache,1.4469,5.5291,0.0,8.5781,True
multi_fact_002,multi_fact_recall,sliding_window_128,1.5973,5.0084,0.0,8.5781,True
multi_fact_002,multi_fact_recall,attention_recent64_top64,1.4917,5.363,0.0,8.5781,True
multi_fact_003,multi_fact_recall,full_kv_cache,1.4784,5.4114,0.0,8.2266,False
multi_fact_003,multi_fact_recall,sliding_window_128,1.5253,5.2449,0.0,8.2266,False
multi_fact_003,multi_fact_recall,attention_recent64_top64,1.557,5.1379,0.0,8.2266,False
stress_old_recall_001,old_recall,full_kv_cache,1.8375,4.3537,3.35,12.7266,False
stress_old_recall_001,old_recall,sliding_window_128,1.8108,4.4179,0.0,9.0,False
stress_old_recall_001,old_recall,attention_recent64_top64,1.8057,4.4304,-0.17,9.0,False
stress_recent_recall_001,recent_recall,full_kv_cache,1.8071,4.427,0.0,12.6562,False
stress_recent_recall_001,recent_recall,sliding_window_128,1.7201,4.651,0.0,9.0,False
stress_recent_recall_001,recent_recall,attention_recent64_top64,1.8663,4.2866,0.28,9.0,False
