id,category,method,latency_s,tokens_per_second,memory_delta_mb,theoretical_kv_cache_mb,correct
normal_001,normal_generation,no_kv_cache,4.0322,1.984,134.76,0.0,
normal_001,normal_generation,full_kv_cache,1.1399,7.0184,0.0,1.6172,
normal_001,normal_generation,sliding_window_32,1.5234,5.2514,0.0,1.6172,
normal_001,normal_generation,sliding_window_64,1.4757,5.4212,0.0,1.6172,
normal_001,normal_generation,sliding_window_128,1.5377,5.2024,0.0,1.6172,
normal_002,normal_generation,no_kv_cache,3.143,2.5453,0.0,0.0,
normal_002,normal_generation,full_kv_cache,1.4923,5.3609,0.0,1.6172,
normal_002,normal_generation,sliding_window_32,1.4559,5.495,0.0,1.6172,
normal_002,normal_generation,sliding_window_64,1.5113,5.2934,0.0,1.6172,
normal_002,normal_generation,sliding_window_128,1.5304,5.2274,0.0,1.6172,
normal_003,normal_generation,no_kv_cache,3.158,2.5332,0.0,0.0,
normal_003,normal_generation,full_kv_cache,1.6507,4.8464,0.0,1.6172,
normal_003,normal_generation,sliding_window_32,1.6083,4.9742,0.0,1.6172,
normal_003,normal_generation,sliding_window_64,1.5663,5.1074,0.0,1.6172,
normal_003,normal_generation,sliding_window_128,1.5562,5.1408,0.0,1.6172,
old_recall_001,old_recall,no_kv_cache,8.9079,0.8981,-14.75,0.0,True
old_recall_001,old_recall,full_kv_cache,2.2301,3.5872,30.68,9.3516,True
old_recall_001,old_recall,sliding_window_32,2.1872,3.6577,0.0,2.25,False
old_recall_001,old_recall,sliding_window_64,2.1784,3.6724,0.0,4.5,False
old_recall_001,old_recall,sliding_window_128,2.3692,3.3766,0.52,9.0,False
old_recall_002,old_recall,no_kv_cache,9.0084,0.8881,-32.39,0.0,False
old_recall_002,old_recall,full_kv_cache,2.267,3.5289,31.14,9.2109,False
old_recall_002,old_recall,sliding_window_32,2.4095,3.3203,0.0,2.25,False
old_recall_002,old_recall,sliding_window_64,2.3076,3.4668,0.0,4.5,False
old_recall_002,old_recall,sliding_window_128,2.2878,3.4968,0.0,9.0,False
old_recall_003,old_recall,no_kv_cache,8.5926,0.931,-31.06,0.0,True
old_recall_003,old_recall,full_kv_cache,2.3808,3.3602,29.9,8.9297,True
old_recall_003,old_recall,sliding_window_32,2.1673,3.6912,0.0,2.25,False
old_recall_003,old_recall,sliding_window_64,2.4103,3.3191,0.0,4.5,False
old_recall_003,old_recall,sliding_window_128,2.4031,3.329,0.0,8.9297,True
recent_recall_001,recent_recall,no_kv_cache,9.144,0.8749,-30.15,0.0,False
recent_recall_001,recent_recall,full_kv_cache,2.3606,3.389,28.3,8.5781,False
recent_recall_001,recent_recall,sliding_window_32,2.2835,3.5034,0.0,2.25,False
recent_recall_001,recent_recall,sliding_window_64,2.255,3.5477,0.0,4.5,False
recent_recall_001,recent_recall,sliding_window_128,2.0729,3.8593,0.0,8.5781,False
recent_recall_002,recent_recall,no_kv_cache,8.0187,0.9977,-27.92,0.0,True
recent_recall_002,recent_recall,full_kv_cache,2.065,3.8741,23.96,8.0859,True
recent_recall_002,recent_recall,sliding_window_32,2.1365,3.7445,0.0,2.25,False
recent_recall_002,recent_recall,sliding_window_64,2.0275,3.9457,0.0,4.5,False
recent_recall_002,recent_recall,sliding_window_128,2.2518,3.5527,0.0,8.0859,True
recent_recall_003,recent_recall,no_kv_cache,8.0751,0.9907,-23.94,0.0,False
recent_recall_003,recent_recall,full_kv_cache,2.1205,3.7727,20.61,7.2422,False
recent_recall_003,recent_recall,sliding_window_32,1.9066,4.1959,0.0,2.25,False
recent_recall_003,recent_recall,sliding_window_64,1.9772,4.0461,0.0,4.5,False
recent_recall_003,recent_recall,sliding_window_128,2.0446,3.9128,0.0,7.2422,False
instruction_001,instruction_retention,no_kv_cache,7.9977,1.0003,-20.71,0.0,True
instruction_001,instruction_retention,full_kv_cache,2.1942,3.6459,23.43,7.7344,True
instruction_001,instruction_retention,sliding_window_32,2.1949,3.6449,0.0,2.25,True
instruction_001,instruction_retention,sliding_window_64,2.231,3.5859,0.0,4.5,True
instruction_001,instruction_retention,sliding_window_128,2.3163,3.4538,0.0,7.7344,True
instruction_002,instruction_retention,no_kv_cache,7.6733,1.0426,-23.46,0.0,False
instruction_002,instruction_retention,full_kv_cache,1.9563,4.0894,19.59,7.0312,False
instruction_002,instruction_retention,sliding_window_32,1.9208,4.165,0.0,2.25,False
instruction_002,instruction_retention,sliding_window_64,1.9833,4.0337,0.0,4.5,False
instruction_002,instruction_retention,sliding_window_128,2.1301,3.7558,0.26,7.0312,False
instruction_003,instruction_retention,no_kv_cache,7.2606,1.1018,-19.89,0.0,True
instruction_003,instruction_retention,full_kv_cache,2.188,3.6562,18.55,6.75,True
instruction_003,instruction_retention,sliding_window_32,2.0597,3.8841,0.0,2.25,False
instruction_003,instruction_retention,sliding_window_64,2.0929,3.8225,0.0,4.5,False
instruction_003,instruction_retention,sliding_window_128,2.2466,3.5609,0.0,6.75,True
long_context_001,long_context,no_kv_cache,12.9928,0.6157,0.23,0.0,
long_context_001,long_context,full_kv_cache,2.9041,2.7547,6.06,14.2031,
long_context_001,long_context,sliding_window_32,2.7018,2.961,-0.02,2.25,
long_context_001,long_context,sliding_window_64,2.7191,2.9421,-0.31,4.5,
long_context_001,long_context,sliding_window_128,2.8115,2.8455,0.03,9.0,
long_context_002,long_context,no_kv_cache,10.8865,0.7349,0.18,0.0,
long_context_002,long_context,full_kv_cache,2.3778,3.3645,15.2,10.8984,
long_context_002,long_context,sliding_window_32,2.3774,3.365,0.0,2.25,
long_context_002,long_context,sliding_window_64,2.5722,3.1102,0.0,4.5,
long_context_002,long_context,sliding_window_128,2.263,3.5352,0.0,9.0,
multi_fact_001,multi_fact_recall,no_kv_cache,8.5022,0.9409,-39.34,0.0,False
multi_fact_001,multi_fact_recall,full_kv_cache,2.1375,3.7427,30.11,9.0703,False
multi_fact_001,multi_fact_recall,sliding_window_32,2.168,3.69,0.0,2.25,False
multi_fact_001,multi_fact_recall,sliding_window_64,2.3282,3.4362,0.0,4.5,False
